DAY,COUNTY_DESC,REPORT_TYPE,COUNT
5,Baltimore,Injury Crash,4343
5,Baltimore,Property Damage Crash,15577
5,Baltimore City,Fatal Crash,21
5,Baltimore City,Injury Crash,5358
5,Baltimore City,Property Damage Crash,13077
5,Calvert,Fatal Crash,13
5,Calvert,Injury Crash,326
5,Calvert,Property Damage Crash,739
5,Caroline,Fatal Crash,7
5,Caroline,Injury Crash,171
5,Caroline,Property Damage Crash,345
5,Carroll,Fatal Crash,18
5,Carroll,Injury Crash,522
5,Carroll,Property Damage Crash,1229
5,Cecil,Fatal Crash,30
5,Cecil,Injury Crash,541
5,Cecil,Property Damage Crash,1312
5,Charles,Fatal Crash,27
5,Charles,Injury Crash,900
5,Charles,Property Damage Crash,2109
5,Dorchester,Fatal Crash,6
5,Dorchester,Injury Crash,168
5,Dorchester,Property Damage Crash,380
5,Frederick,Fatal Crash,24
5,Frederick,Injury Crash,1024
5,Frederick,Property Damage Crash,2186
5,Garrett,Fatal Crash,7
5,Garrett,Injury Crash,176
5,Garrett,Property Damage Crash,378
5,Harford,Fatal Crash,22
5,Harford,Injury Crash,890
5,Harford,Property Damage Crash,2152
5,Howard,Fatal Crash,23
5,Howard,Injury Crash,836
5,Howard,Property Damage Crash,2568
5,Kent,Fatal Crash,7
5,Kent,Injury Crash,66
5,Kent,Property Damage Crash,175
5,Montgomery,Fatal Crash,43
5,Montgomery,Injury Crash,3686
5,Montgomery,Property Damage Crash,7876
5,Prince Georges,Fatal Crash,126
5,Prince Georges,Injury Crash,4916
5,Prince Georges,Property Damage Crash,15733
5,Queen Annes,Fatal Crash,8
5,Queen Annes,Injury Crash,227
5,Queen Annes,Property Damage Crash,556
5,Somerset,Fatal Crash,3
5,Somerset,Injury Crash,105
5,Somerset,Property Damage Crash,212
5,St. Marys,Fatal Crash,14
5,St. Marys,Injury Crash,610
5,St. Marys,Property Damage Crash,1053
5,Talbot,Fatal Crash,6
5,Talbot,Injury Crash,229
5,Talbot,Property Damage Crash,493
5,Washington,Fatal Crash,16
5,Washington,Injury Crash,731
5,Washington,Property Damage Crash,1667
5,Wicomico,Fatal Crash,14
5,Wicomico,Injury Crash,669
5,Wicomico,Property Damage Crash,1409
5,Worcester,Fatal Crash,15
5,Worcester,Injury Crash,548
5,Worcester,Property Damage Crash,1258
6,Allegany,Fatal Crash,8
6,Allegany,Injury Crash,184
6,Allegany,Property Damage Crash,368
6,Anne Arundel,Fatal Crash,43
6,Anne Arundel,Injury Crash,2309
6,Anne Arundel,Property Damage Crash,5656
6,Baltimore,Fatal Crash,49
6,Baltimore,Injury Crash,3810
6,Baltimore,Property Damage Crash,13580
6,Baltimore City,Fatal Crash,11
6,Baltimore City,Injury Crash,4599
6,Baltimore City,Property Damage Crash,11362
6,Calvert,Fatal Crash,10
6,Calvert,Injury Crash,280
6,Calvert,Property Damage Crash,606
6,Caroline,Fatal Crash,5
6,Caroline,Injury Crash,131
6,Caroline,Property Damage Crash,292
6,Carroll,Fatal Crash,13
6,Carroll,Injury Crash,420
6,Carroll,Property Damage Crash,954
6,Cecil,Fatal Crash,22
6,Cecil,Injury Crash,441
6,Cecil,Property Damage Crash,1046
6,Charles,Fatal Crash,26
6,Charles,Injury Crash,715
6,Charles,Property Damage Crash,1822
6,Dorchester,Fatal Crash,3
6,Dorchester,Injury Crash,159
6,Dorchester,Property Damage Crash,287
6,Frederick,Fatal Crash,31
6,Frederick,Injury Crash,878
6,Frederick,Property Damage Crash,1988
6,Garrett,Fatal Crash,7
6,Garrett,Injury Crash,158
6,Garrett,Property Damage Crash,317
6,Harford,Fatal Crash,9
6,Harford,Injury Crash,779
6,Harford,Property Damage Crash,1849
6,Howard,Fatal Crash,26
6,Howard,Injury Crash,706
6,Howard,Property Damage Crash,2130
6,Kent,Fatal Crash,3
6,Kent,Injury Crash,69
6,Kent,Property Damage Crash,154
6,Montgomery,Fatal Crash,36
6,Montgomery,Injury Crash,3274
6,Montgomery,Property Damage Crash,6654
6,Prince Georges,Fatal Crash,113
6,Prince Georges,Injury Crash,4235
6,Prince Georges,Property Damage Crash,13532
6,Queen Annes,Fatal Crash,9
6,Queen Annes,Injury Crash,202
6,Queen Annes,Property Damage Crash,532
6,Somerset,Fatal Crash,5
6,Somerset,Injury Crash,80
6,Somerset,Property Damage Crash,176
6,St. Marys,Fatal Crash,17
6,St. Marys,Injury Crash,461
6,St. Marys,Property Damage Crash,889
6,Talbot,Fatal Crash,2
6,Talbot,Injury Crash,189
6,Talbot,Property Damage Crash,418
6,Washington,Fatal Crash,14
6,Washington,Injury Crash,572
6,Washington,Property Damage Crash,1492
6,Wicomico,Fatal Crash,10
6,Wicomico,Injury Crash,584
6,Wicomico,Property Damage Crash,1205
6,Worcester,Fatal Crash,14
6,Worcester,Injury Crash,397
6,Worcester,Property Damage Crash,925
